 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
8,78772E+12;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA JANDERCI DA SILVA VIUDES, N. 101, 0424ANTIGA RUA 05 ;84.892,14;145.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716297233
8,78772E+12;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA LAERCIO DAN, N. SN, LT 03 QD 01 CS 34 ;87.819,45;150.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 160.36 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716659623
8,78772E+12;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA BELARMINO PIRES, N. SN, LT 04 QD 04 CS 126 ;84.892,14;145.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717484959
8,78772E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL LUANA II ;RUA RAIMUNDO BATISTA DE LIMA, N. 43, ;87.819,45;150.000,00;41.46;Não;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720717772
8,78771E+12;SP ;ARACATUBA ;PARQUE AQUARELLE ; ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 204, 2º PAVIMENTO BLOCO 16 ;94.815,14;160.000,00;40.75;Não;Apartamento, 83.41 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709862770
8,78771E+12;SP ;ARACATUBA ;PETIT-TRIANON ;RUA ELZA ALMEIDA LEMOS, N. 481, Apto 406, BL 04 ;107.852,22;182.000,00;40.75;Não;Apartamento, 64.29 de área total, 53.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710808546
8,7877E+12;SP ;ARACATUBA ;SANTA LUZIA ;R GOULART, N. 471, Apto 202, BL 12 ;101.629,97;171.500,00;40.75;Não;Apartamento, 101.21 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702539841
8,78772E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL LUANA II ;RUA ANTONIO FALCETTI, N. 58, QD B LT 21 ;100.148,49;169.000,00;40.75;Não;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717482549
8,78772E+12;SP ;ARACATUBA ;ARAÇATUBA ; RUA PASTOR JOSÉ FERREIRA DE FREITAS, N. 1079, QD 35 ;116.651,81;193.000,00;39.56;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720051391
8,78772E+12;SP ;ARACATUBA ;SILVIO VENTUROLLI ; RUA JANDERCI DA SILVA VIUDES, N. 759, QD 25, LT 42 ;116.651,81;193.000,00;39.56;Não;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720939163
8,78772E+12;SP ;ARACATUBA ;PETIT-TRIANON ;RUA ELZA ALMEIDA LEMOS, N. 601, CS 15 ;116.047,39;192.000,00;39.56;Não;Casa, 147.59 de área total, 47.00 de área privativa, 99.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715011034
8,78772E+12;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;TRAVESSA ERNESTO NAZARET, N. 140, Apto 404, BL 08 ;114.838,57;190.000,00;39.56;Não;Apartamento, 93.59 de área total, 43.05 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718119766
