 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
8,78771E+12;SP ;SAO PAULO ;CIDADE LIDER ;AVENIDA ITAQUERA, N. 5889, Apto 909, TORRE A ;242.961,10;195.000,00;0.00;Não;Apartamento, 59.10 de área total, 41.79 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708404972
8,78772E+12;SP ;SAO PAULO ;CAMPOS ELISEOS ;RUA BARAO DE CAMPINAS, N. 265, Apto 505, HIS 2 5 PAV ;280.437,63;225.000,00;0.00;Não;Apartamento, 35.13 de área total, 26.81 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717611314
8,78772E+12;SP ;SAO PAULO ;VILA PRUDENTE ;RUA PINDAMONHANGABA, N. 153, Apto 912, BL 03 SUBCONDOMINIO 02  HMP HIS ;283.141,28;226.000,00;0.00;Não;Apartamento, 48.06 de área total, 31.42 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787720115691
8,7877E+12;SP ;SAO PAULO ;JARAGUA ;AVENIDA DOUTOR JOSE MANIERO, N. 85, Apto 13, TORRE 02 ;223.675,00;177.000,00;0.00;Não;Apartamento, 89.38 de área total, 45.62 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703519054
8,1192E+12;SP ;SAO PAULO ;ITAIM PAULISTA ;RUA  ANTONIO JOAO DE MEDEIROS, N. 465, Apto 13,  EDIFÍCIO TULIPA ;407.020,39;317.000,00;0.00;Não;Apartamento, 121.45 de área total, 68.59 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8119200004736
8,78772E+12;SP ;SAO PAULO ;PARADA XV DE NOVEMBRO ;RUA GOIATA, N. 232, Apto 702, 7º PAV TORRE 2 ;262.137,73;200.000,00;0.00;Não;Apartamento, 58.37 de área total, 41.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717747321
1,44442E+12;SP ;SAO PAULO ;VILA CENTRAL ;RUA DOMINGOS PIRES BRITO, N. 283, 26 DISTRITO ;802.446,50;609.500,00;0.00;Não;Prédio, 0.00 de área total, 79.38 de área privativa, 79.38 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423376406
1,6E+12;SP ;SAO PAULO ;VILA DO BOSQUE ;RUA VUTURUNA, N. 126, LOTE B DO DESDOBRO ;1.024.006,00;770.000,00;0.00;Não;Casa, 176.32 de área total, 176.32 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, Terraco, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000129694
8,78772E+12;SP ;SAO PAULO ;VILA PRUDENTE ;RUA PINDAMONHANGABA, N. 153, Apto 07, BL 02  SUBCONDOMINIO 01 HIS ;288.821,38;210.000,00;0.00;Não;Apartamento, 48.06 de área total, 31.42 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715453827
8,78772E+12;SP ;SAO PAULO ;PARAISO DO MORUMBI ;RUA CORONEL FRANCISCO DE OLIVEIRA SIMOES, N. 70, Apto 102, TERREO TR 02 VG 2 ;458.545,81;320.000,00;0.00;Não;Apartamento, 131.95 de área total, 53.61 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721164157
1,55552E+12;SP ;SAO PAULO ;JARDIM ALPINO ;R BENTO MOREIRA, N. 91, 38, ;649.575,43;407.000,00;0.00;Não;Casa, 0.00 de área total, 55.00 de área privativa, 55.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555519904413
1,55552E+12;SP ;SAO PAULO ;ACLIMACAO ;RUA APENINOS, N. 695, ;1.395.260,00;775.000,00;0.00;Não;Casa, 100.00 de área total, 100.00 de área privativa, 150.00 de área do terreno,  1 qto(s), WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555522827726
10280996;SP ;SAO PAULO ;JARDIM GUEDALA ;RUA CAIXANAS, N. 189, CS 03 ;9.604.172,66;5.000.000,00;0.00;Sim;Casa, 0.00 de área total, 418.34 de área privativa, 305.82 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10280996
1,44441E+12;SP ;SAO PAULO ;JARDIM LEONOR MENDES DE BARROS ;AVENIDA LOCARNO (ANTIGA RUA VERONA), N. 177,  LT 47 QD 17 ;5.106.732,84;1.840.000,00;0.00;Não;Casa, 405.00 de área total, 405.00 de área privativa, 469.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413795007
8,55552E+12;SP ;SAO VICENTE ;PARQUE SAO VICENTE ;AVENIDA GALEAO COUTINHO, N. 704, CS 04 ;125.535,75;245.000,00;48.77;Sim;Casa, 56.06 de área total, 46.22 de área privativa, 49.61 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555523649862
8,44441E+12;SP ;SAO VICENTE ;PARQUE SAO VICENTE ;RUA LEONARDO NUNES, N. 920, CASA 01 ;191.751,07;339.500,00;43.52;Sim;Casa, 130.45 de área total, 70.00 de área privativa, 68.31 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409937828
8,55552E+12;SP ;SAO VICENTE ;VILA NOSSA SENHORA DE FATIMA ;RUA ANTERO DE MOURA, N. 1081, CS 02 ;150.075,83;258.000,00;41.84;Sim;Casa, 66.54 de área total, 66.54 de área privativa, 55.35 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555523727030
8,0964E+12;SP ;SAO VICENTE ;PARQUE SAO VICENTE ;RUA CAPITAO GREGORIO DE FREITAS, N. 635, Apto 35, ;162.000,00;270.000,00;40.00;Não;Apartamento, 96.25 de área total, 64.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8096400877366
8,44443E+12;SP ;SAO VICENTE ;CATIAPOA ;RUA VITORIA DE SANTO ANTAO, N. 16, CS 01 ;132.970,97;220.000,00;39.56;Não;Casa, 51.90 de área total, 40.51 de área privativa, 40.51 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427278393
8,44442E+12;SP ;SAO VICENTE ;VILA VOTURUA ;RUA DONA ANITA COSTA, N. 780, Apto 13, 1 PAVIMENTO ;121.487,11;201.000,00;39.56;Não;Apartamento, 57.16 de área total, 35.45 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420102737
8,44443E+12;SP ;SAO VICENTE ;VILA VOTURUA ;RUA CATALAO, N. 408, Apto 21, AND 02 ;132.366,56;219.000,00;39.56;Não;Apartamento, 57.02 de área total, 42.96 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431509574
8,44442E+12;SP ;SAO VICENTE ;SAMARITA ;RUA JOSE DOS SANTOS SATURNINO, N. 13, RESID SOBREPOSTA 02. PAV SUPERIOR ;119.673,87;198.000,00;39.56;Não;Casa, 70.64 de área total, 64.77 de área privativa, 63.75 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416687114
8,44443E+12;SP ;SAO VICENTE ;JARDIM RIO BRANCO ;RUA ANTONIO RISCALLE HUSNE, N. 1183, CS 04 ;167.771,43;274.000,00;38.77;Sim;Casa, 65.97 de área total, 60.12 de área privativa, 65.97 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427068445
1,44442E+12;SP ;SAO VICENTE ;ITARARE ;RUA DOUTOR JOSE FRANCISCO VALENCA, N. 77, Apto 309, 03 ANDAR ;125.884,66;200.000,00;37.06;Não;Apartamento, 38.90 de área total, 30.52 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416677587
8,0354E+12;SP ;SAO VICENTE ;JARDIM GUASSU ; AVENIDA ANTONIO EMMERICH, N. 499, Apto 309, ;116.443,31;185.000,00;37.06;Não;Apartamento, 64.45 de área total, 42.00 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8035400419927
8,78771E+12;SP ;SAO VICENTE ;VILA VOTURUA ;AVENIDA JUIZ DE FORA, N. 328/346, Apto 13, BL A ;264.680,83;264.680,83;0.00;Não;Apartamento, 84.60 de área total, 50.01 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705631820
8,44442E+12;SP ;SAO VICENTE ;PARQUE CONTINENTAL ;AVENIDA DES ANTONIO CARLOS DE ALMEIDA RIBEIRO, N. SN, RES TERREA 1 PREDIO 99 ;276.232,23;276.232,23;0.00;Não;Casa, 60.40 de área total, 60.15 de área privativa, 77.16 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422608417
8,55553E+12;SP ;SAO VICENTE ;PARQUE SAO VICENTE ;RUA LEONARDO NUNES, N. 570, RESIDÊNCIA Nº 14 1º ANDAR ;205.000,00;205.000,00;0.00;Não;Casa, 0.00 de área total, 40.16 de área privativa, 57.24 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555528816279
8,44443E+12;SP ;SAO VICENTE ;PARQUE DAS BANDEIRAS ;AVENIDA DOUTOR CELSO SANTOS, N. SN, CS 319 TERREO ;195.413,46;195.000,00;0.00;Não;Casa, 39.28 de área total, 35.41 de área privativa, 39.28 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431111082
1,4444E+12;SP ;SAO VICENTE ;VILA VALENCA ;RUA DOUTOR FERNANDO COSTA, N. 628, Apto 33, ;359.069,00;352.000,00;0.00;Não;Apartamento, 124.83 de área total, 74.55 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404828640
1,44441E+12;SP ;SAO VICENTE ;VILA CASCATINHA ;RUA GENERAL ETCHGOYEN, N. 335, LOTE 01E02 QUADRA 09 ;572.075,98;545.000,00;0.00;Não;Casa, 167.13 de área total, 167.13 de área privativa, 115.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413592424
1,44442E+12;SP ;SERRA NEGRA ;SERRA NEGRA ; RUA 7, N. SN, LT 23 QD G ;134.536,89;219.226,97;38.64;Não;Terreno, 110.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415855490
1,55551E+12;SP ;SERRANA ;JARDIM BOA ESPERANCA ; RUA AMELIO BARICALLA, N. 2029, LT 15 QD 04 ;159.366,42;290.000,00;45.05;Não;Casa, 110.18 de área total, 110.18 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555507801029
8,78771E+12;SP ;SERRANA ;CIDADE DE BELEM ;AVENIDA LEOLINO GONCALVES DE OLIVEIRA, N. 661, Apto 32, BL B TORRE 03 ;78.781,14;136.000,00;42.08;Não;Apartamento, 131.41 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709171190
8,78771E+12;SP ;SERRANA ;CENTRO ;RUA PARANA, N. 608, Apto 23, PAV 2 BL B TR 3 ;93.037,35;157.000,00;40.75;Não;Apartamento, 0.00 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708465297
8,78771E+12;SP ;SERRANA ;CENTRO ;RUA PARANA, N. 608, Apto 4, BLOCO A TORRE 1 ;158.000,00;158.000,00;0.00;Não;Apartamento, 95.45 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706092957
8,78771E+12;SP ;SERRANA ;JARDIM DAS ROSAS III ;AVENIDA LEOLINO GONCALVES DE OLIVEIRA, N. 661, Apto 2, BL C TORRE 1 ;160.000,00;160.000,00;0.00;Não;Apartamento, 88.35 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712593504
8,78771E+12;SP ;SERRANA ;JARDIM DAS ROSAS III ;AVENIDA LEOLINO GONCALVES DE OLIVEIRA, N. 661, Apto 4, BL A TORRE 2 ;170.000,00;170.000,00;0.00;Não;Apartamento, 88.35 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712735759
8,44443E+12;SP ;SERTAOZINHO ;JARDIM SANTA BARBARA ;RUA ANTONIO MILAN, N. 314, Apto SN, PAV TERREO VG 04 ;95.557,77;186.000,00;48.63;Sim;Apartamento, 60.73 de área total, 36.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427174121
8,78772E+12;SP ;SERTAOZINHO ;TERRAS DA CIDADE ;RUA FRANCISCO OLIVEIRA, N. 600, CS 97 ANTIGA RUA R1 ;119.084,57;213.000,00;44.10;Não;Casa, 43.03 de área total, 43.03 de área privativa, 77.38 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715751119
8,78771E+12;SP ;SERTAOZINHO ;JARDIM CAMPO ALEGRE ;AVENIDA APARECIDO SAVEGNAGO, N. 655, Apto 31, BL B TORRE 2 ;90.074,38;160.000,00;43.71;Sim;Apartamento, 89.41 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713595381
8,78771E+12;SP ;SERTAOZINHO ;JARDIM CAMPO ALEGRE ;AVENIDA APARECIDO SAVEGNANO, N. 655, Apto 32, TORRE 4  BLOCO A ;69.934,44;122.000,00;42.68;Não;Apartamento, 89.41 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707219918
8,78771E+12;SP ;SERTAOZINHO ;JARDIM CAMPO ALEGRE ;AVENIDA APARECIDO SAVEGNAGO, N. 655, Apto 03, TORRE 02 ;81.379,36;139.000,00;41.46;Não;Apartamento, 89.41 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712923369
8,44442E+12;SP ;SERTAOZINHO ;JARDIM SANTA LUCIA ;RUA LUIZ PASQUINI (ANTIGA RUA A), N. SN, LT 13 QD 07 ;180.334,43;190.000,00;5.09;Não;Casa, 58.00 de área total, 58.00 de área privativa, 220.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421284090
8,5555E+12;SP ;SERTAOZINHO ;JARDIM CAMPO ALEGRE ;RUA FIORAVANTE MODESTO, N. 286, ;170.000,00;170.000,00;0.00;Não;Casa, 0.00 de área total, 43.31 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555504893613
8,78771E+12;SP ;SERTAOZINHO ;JARDIM ESMERALDA ;RUA LUIZ PASQUINI, N. 255, Apto 23, 2º ANDAR BLOCO C ;152.728,11;150.000,00;0.00;Não;Apartamento, 97.77 de área total, 43.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713064025
8,78771E+12;SP ;SERTAOZINHO ;ALVORADA ;RUA DOUTOR OLIDAIR AMBROSIO, N. 3350, Apto 203, BL 03 ;151.000,00;130.000,00;0.00;Não;Apartamento, 84.99 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709303568
8,44443E+12;SP ;SERTAOZINHO ;JARDIM SANTA ROSA II ;RUA ANTONIO CAETANO DO NASCIMENTO, N. 600, Apto 12, BL 05 ;170.090,80;90.000,00;0.00;Não;Apartamento, 50.40 de área total, 43.37 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427305927
10208119;SP ;SOROCABA ;VILA HARO ;RUA JORGE CARACANTE, N. 00, QD A, LT 35 ;573.123,76;1.251.500,00;54.21;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1015.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208119
8,44444E+12;SP ;SOROCABA ;CAGUASSU ;RUA IOLANDA DOS REIS, N. 364, Apto  203, BL 1B LOT JD CARANDA ;64.502,06;131.000,00;50.77;Não;Apartamento, 0.00 de área total, 47.40 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435580931
10211720;SP ;SOROCABA ;LOPES DE OLIVEIRA ;RUA PROTASSIO DE CAMARGO SAMPAIO, N. SN ;843.942,99;1.535.728,00;45.05;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 3340.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211720
8,44443E+12;SP ;SOROCABA ;CRUZ DE FERRO ;AVENIDA JOMAR LUIZ FULAN BELLINI, N. 53, Apto 04, TERREO ;82.769,83;145.000,00;42.92;Não;Apartamento, 42.96 de área total, 35.96 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433010496
8,44443E+12;SP ;SOROCABA ;VILA MINEIRAO ;RUA ANTONIO FURTADO LOPES, N. 921, Apto 10, VG 10 VG 10A ;62.856,87;110.000,00;42.86;Não;Apartamento, 26.06 de área total, 25.93 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427269530
8,44443E+12;SP ;SOROCABA ;TERRA VERMELHA ;RUA LAZARO DE OLIVEIRA, N. 170, CS 14 ;73.455,30;126.806,00;42.08;Não;Casa, 21.25 de área total, 21.00 de área privativa, 22.26 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427539618
8,44443E+12;SP ;SOROCABA ;PARQUE SAO BENTO ;RUA JOSE BENEDITO ZANALDO, N. 86, KITCHENETTE 04 ;73.335,97;126.600,00;42.08;Não;Casa, 25.51 de área total, 25.10 de área privativa, 56.52 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427337470
8,78771E+12;SP ;SOROCABA ;IPATINGA ;RUA COMENDADOR VICENTE AMARAL, N. 4201, Apto 304, BLOCO 09 ;102.518,87;173.000,00;40.75;Não;Apartamento, 50.18 de área total, 41.15 de área privativa, 0.00 de área do terreno, WC, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714514482
8,78772E+12;SP ;SOROCABA ;PARQUE SAO BENTO ;RUA AVELINO DOS SANTOS, N. 431, Apto 23, PAV 2 BL 07 ;106.667,03;180.000,00;40.75;Não;Apartamento, 47.77 de área total, 40.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715279800
8,78772E+12;SP ;SOROCABA ;PARQUE SAO BENTO ;RUA AVELINO DOS SANTOS, N. 261, Apto 304,  BL 01 ;100.741,08;170.000,00;40.75;Não;Apartamento, 47.83 de área total, 41.13 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787721940181
8,7877E+12;SP ;SOROCABA ;JARDIM SANTA CECILIA ;AVENIDA ITAVUVU, N. 8300, Apto 34, BL 05 ;100.741,08;170.000,00;40.75;Não;Apartamento, 48.47 de área total, 44.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701343536
8,55554E+12;SP ;SOROCABA ;CAGUASSU ;RUA SERAPHIM BANIETTI, N. 1080, Apto 102, BL 17 ;100.741,08;170.000,00;40.75;Não;Apartamento, 52.07 de área total, 45.15 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555537272979
8,78771E+12;SP ;SOROCABA ;APARECIDINHA ;ESTRADA DO FIORAVANTE, N. 285, Apto 33, BL AB ;99.555,89;168.000,00;40.75;Não;Apartamento, 42.20 de área total, 42.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713418900
8,78771E+12;SP ;SOROCABA ;EDEN ;ESTRADA LUIZ CARLOS GUERRA, N. 999, Apto 31, TR 03 VG 80 ;100.741,08;170.000,00;40.75;Não;Apartamento, 61.10 de área total, 40.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714940619
8,55552E+12;SP ;SOROCABA ;AGUA VERMELHA ;RUA LITUANIA, N. 880, Apto 11, BL 03 ED FRANCA ;145.200,00;242.000,00;40.00;Não;Apartamento, 58.42 de área total, 50.71 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555517969613
